date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:08	1210/1210	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Jul%202023%2012:31:08%20GMT	https://wechat-group.bnu120.space/robots.txt		(from )
20:31:08	11180/11180	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2012:31:08%20GMT	https://wechat-group.bnu120.space/	/Users/ree/websites/QRcode/wechat-group.bnu120.space/index.html	(from )
20:31:10	1943/1943	---MCZ	200	added ('OK')	text/css	etag:W/%22797-189329b9b37%22	https://wechat-group.bnu120.space/_next/static/css/e9c8722bbbac5cfe.css	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/static/css/e9c8722bbbac5cfe.css	(from https://wechat-group.bnu120.space/)
20:31:11	4023/4023	---MCZ	200	added ('OK')	text/css	etag:W/%22fb7-189329b9b37%22	https://wechat-group.bnu120.space/_next/static/css/c8937754071cbfa9.css	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/static/css/c8937754071cbfa9.css	(from https://wechat-group.bnu120.space/)
20:31:13	3504/3504	---MCZ	200	added ('OK')	application/javascript	etag:W/%22db0-189329b9b33%22	https://wechat-group.bnu120.space/_next/static/chunks/webpack-3709356f4643f76a.js	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/static/chunks/webpack-3709356f4643f76a.js	(from https://wechat-group.bnu120.space/)
20:31:15	160784/160784	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227410-189329b9b33%22	https://wechat-group.bnu120.space/_next/static/chunks/7c8ed547-7fad7f12f19b8f49.js	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/static/chunks/7c8ed547-7fad7f12f19b8f49.js	(from https://wechat-group.bnu120.space/)
20:31:15	97883/97883	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217e5b-189329b9b33%22	https://wechat-group.bnu120.space/_next/static/chunks/597-ba63fb355c7994d2.js	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/static/chunks/597-ba63fb355c7994d2.js	(from https://wechat-group.bnu120.space/)
20:31:16	419/419	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a3-189329b9b33%22	https://wechat-group.bnu120.space/_next/static/chunks/main-app-c846e2894171bccc.js	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/static/chunks/main-app-c846e2894171bccc.js	(from https://wechat-group.bnu120.space/)
20:31:16	342/342	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Jul%202023%2018:57:32%20GMT	https://wechat-group.bnu120.space/icon.svg?fa2ccc3c04e8ff49	/Users/ree/websites/QRcode/wechat-group.bnu120.space/icon596d.svg	(from https://wechat-group.bnu120.space/)
20:31:17	342/342	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Jul%202023%2023:50:55%20GMT	https://wechat-group.bnu120.space/icon.svg	/Users/ree/websites/QRcode/wechat-group.bnu120.space/icon.svg	(from https://wechat-group.bnu120.space/)
20:31:19	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%22164f5-189329b9b34%22	https://wechat-group.bnu120.space/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://wechat-group.bnu120.space/)
20:31:19	22068/22068	---M--	200	added ('OK')	image/webp	etag:Amus6YxsKAkNQXgF6YJEyRD7AFt0KHh1jc-wTJNVGTk=	https://wechat-group.bnu120.space/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fqrcode.03fc084f.png&w=1080&q=75	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/qrcode2fc8.webp	(from https://wechat-group.bnu120.space/)
20:31:20	4700/4700	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2012:31:20%20GMT	https://wechat-group.bnu120.space/cdn-cgi/l/email-protection	/Users/ree/websites/QRcode/wechat-group.bnu120.space/cdn-cgi/l/email-protection.html	(from https://wechat-group.bnu120.space/)
20:31:22	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ad82fd-4d7%22	https://wechat-group.bnu120.space/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/Users/ree/websites/QRcode/wechat-group.bnu120.space/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://wechat-group.bnu120.space/)
20:32:56	19116860/19116860	---MCZ	200	added ('OK')	font/ttf	etag:W/%22123b33c-189329b9b33%22	https://wechat-group.bnu120.space/_next/static/media/6ee98040007525d8-s.p.ttf	/Users/ree/websites/QRcode/wechat-group.bnu120.space/_next/static/media/6ee98040007525d8-s.p.ttf	(from https://wechat-group.bnu120.space/)
